,pred_minute,mean_rel_err,std_rel_err
0,0.0,0.1598,0.62
1,10.0,0.1592,0.423
2,20.0,0.1593,0.4639
3,30.0,0.1595,0.4412
4,40.0,0.1582,0.4333
5,50.0,0.1578,0.4683
6,60.0,0.158,0.442
7,70.0,0.1584,0.3992
8,80.0,0.1583,0.44
9,90.0,0.1575,0.4714
10,100.0,0.1556,0.5645
11,110.0,0.1558,0.4897
12,120.0,0.1556,0.4702
13,130.0,0.1555,0.4695
14,140.0,0.1554,0.4578
15,150.0,0.1552,0.4194
16,160.0,0.1554,0.401
17,170.0,0.1558,0.3855
18,180.0,0.1552,0.4333
19,190.0,0.1544,0.4314
20,200.0,0.1553,0.4194
21,210.0,0.1567,0.487
22,220.0,0.1577,0.4666
23,230.0,0.1595,0.511
