,pred_minute,mean_rel_err,std_rel_err
0,0.0,0.2096,0.6733
1,10.0,0.211,0.4756
2,20.0,0.2096,0.5522
3,30.0,0.2026,0.4668
4,40.0,0.2114,0.4202
5,50.0,0.2078,0.4155
6,60.0,0.1942,0.4062
7,70.0,0.1962,0.376
8,80.0,0.191,0.4204
9,90.0,0.1929,0.4656
10,100.0,0.1953,0.426
11,110.0,0.1951,0.42
12,120.0,0.1954,0.399
13,130.0,0.1877,0.4304
14,140.0,0.1965,0.4265
15,150.0,0.1864,0.4514
16,160.0,0.1956,0.4492
17,170.0,0.1942,0.419
18,180.0,0.194,0.4695
19,190.0,0.2032,0.5186
20,200.0,0.199,0.4666
21,210.0,0.1989,0.5415
22,220.0,0.2009,0.5913
23,230.0,0.2043,0.6904
