,pred_minute,mean_rel_err,std_rel_err
0,0.0,0.1279,0.1627
1,10.0,0.1279,0.1643
2,20.0,0.1285,0.192
3,30.0,0.1329,0.1938
4,40.0,0.1371,0.2192
5,50.0,0.1526,0.2081
6,60.0,0.1667,0.2262
7,70.0,0.1766,0.2142
8,80.0,0.1777,0.2417
9,90.0,0.1741,0.2644
10,100.0,0.17,0.2546
11,110.0,0.1775,0.2727
12,120.0,0.1909,0.2493
13,130.0,0.1991,0.253
14,140.0,0.2004,0.2715
15,150.0,0.1945,0.283
16,160.0,0.1904,0.306
17,170.0,0.1957,0.2942
18,180.0,0.2075,0.3328
19,190.0,0.2144,0.2896
20,200.0,0.218,0.2932
21,210.0,0.2173,0.2798
22,220.0,0.213,0.31
23,230.0,0.2119,0.333
